INFO     | 2023-05-11 21:25:36,558 | progress   |       Finished subset 51/51, 100.00 percent done
INFO     | 2023-05-11 21:25:36,562 | analysis_m |    ***Greedy algorithm step 1***
INFO     | 2023-05-11 21:25:36,567 | analysis_m |       Analysing 1275 new subset pairs
INFO     | 2023-05-11 21:25:50,517 | progress   |       Finished subset 1/1275, 0.08 percent done
INFO     | 2023-05-11 21:25:50,611 | progress   |       Finished subset 2/1275, 0.16 percent done
INFO     | 2023-05-11 21:25:52,289 | progress   |       Finished subset 3/1275, 0.24 percent done
INFO     | 2023-05-11 21:25:52,390 | progress   |       Finished subset 4/1275, 0.31 percent done
INFO     | 2023-05-11 21:25:53,685 | progress   |       Finished subset 5/1275, 0.39 percent done
INFO     | 2023-05-11 21:25:54,118 | progress   |       Finished subset 6/1275, 0.47 percent done
INFO     | 2023-05-11 21:25:55,742 | progress   |       Finished subset 7/1275, 0.55 percent done
INFO     | 2023-05-11 21:25:55,972 | progress   |       Finished subset 8/1275, 0.63 percent done
INFO     | 2023-05-11 21:25:59,036 | progress   |       Finished subset 9/1275, 0.71 percent done
INFO     | 2023-05-11 21:25:59,270 | progress   |       Finished subset 10/1275, 0.78 percent done
INFO     | 2023-05-11 21:26:08,279 | progress   |       Finished subset 11/1275, 0.86 percent done
INFO     | 2023-05-11 21:26:10,135 | progress   |       Finished subset 12/1275, 0.94 percent done
INFO     | 2023-05-11 21:26:18,258 | progress   |       Finished subset 13/1275, 1.02 percent done
INFO     | 2023-05-11 21:26:18,971 | progress   |       Finished subset 14/1275, 1.10 percent done
INFO     | 2023-05-11 21:26:22,025 | progress   |       Finished subset 15/1275, 1.18 percent done
INFO     | 2023-05-11 21:26:22,355 | progress   |       Finished subset 16/1275, 1.25 percent done
INFO     | 2023-05-11 21:26:23,775 | progress   |       Finished subset 17/1275, 1.33 percent done
INFO     | 2023-05-11 21:26:24,049 | progress   |       Finished subset 18/1275, 1.41 percent done
INFO     | 2023-05-11 21:26:25,686 | progress   |       Finished subset 19/1275, 1.49 percent done
INFO     | 2023-05-11 21:26:26,353 | progress   |       Finished subset 20/1275, 1.57 percent done
INFO     | 2023-05-11 21:26:27,587 | progress   |       Finished subset 21/1275, 1.65 percent done
INFO     | 2023-05-11 21:26:27,859 | progress   |       Finished subset 22/1275, 1.73 percent done
INFO     | 2023-05-11 21:26:29,228 | progress   |       Finished subset 23/1275, 1.80 percent done
INFO     | 2023-05-11 21:26:29,605 | progress   |       Finished subset 24/1275, 1.88 percent done
INFO     | 2023-05-11 21:26:30,827 | progress   |       Finished subset 25/1275, 1.96 percent done
INFO     | 2023-05-11 21:26:31,070 | progress   |       Finished subset 26/1275, 2.04 percent done
INFO     | 2023-05-11 21:26:33,251 | progress   |       Finished subset 27/1275, 2.12 percent done
INFO     | 2023-05-11 21:26:33,936 | progress   |       Finished subset 28/1275, 2.20 percent done
INFO     | 2023-05-11 21:26:36,730 | progress   |       Finished subset 29/1275, 2.27 percent done
INFO     | 2023-05-11 21:26:37,538 | progress   |       Finished subset 30/1275, 2.35 percent done
INFO     | 2023-05-11 21:26:41,423 | progress   |       Finished subset 31/1275, 2.43 percent done
INFO     | 2023-05-11 21:26:42,148 | progress   |       Finished subset 32/1275, 2.51 percent done
INFO     | 2023-05-11 21:26:45,324 | progress   |       Finished subset 33/1275, 2.59 percent done
INFO     | 2023-05-11 21:26:46,629 | progress   |       Finished subset 34/1275, 2.67 percent done
INFO     | 2023-05-11 21:26:49,754 | progress   |       Finished subset 35/1275, 2.75 percent done
INFO     | 2023-05-11 21:26:50,454 | progress   |       Finished subset 36/1275, 2.82 percent done
INFO     | 2023-05-11 21:26:52,571 | progress   |       Finished subset 37/1275, 2.90 percent done
INFO     | 2023-05-11 21:26:52,957 | progress   |       Finished subset 38/1275, 2.98 percent done
INFO     | 2023-05-11 21:26:54,250 | progress   |       Finished subset 39/1275, 3.06 percent done
INFO     | 2023-05-11 21:26:54,569 | progress   |       Finished subset 40/1275, 3.14 percent done
INFO     | 2023-05-11 21:26:55,677 | progress   |       Finished subset 41/1275, 3.22 percent done
INFO     | 2023-05-11 21:26:56,310 | progress   |       Finished subset 42/1275, 3.29 percent done
INFO     | 2023-05-11 21:26:57,220 | progress   |       Finished subset 43/1275, 3.37 percent done
INFO     | 2023-05-11 21:26:57,816 | progress   |       Finished subset 44/1275, 3.45 percent done
INFO     | 2023-05-11 21:26:58,536 | progress   |       Finished subset 45/1275, 3.53 percent done
INFO     | 2023-05-11 21:26:59,041 | progress   |       Finished subset 46/1275, 3.61 percent done
INFO     | 2023-05-11 21:27:00,037 | progress   |       Finished subset 47/1275, 3.69 percent done
INFO     | 2023-05-11 21:27:00,348 | progress   |       Finished subset 48/1275, 3.76 percent done
INFO     | 2023-05-11 21:27:01,566 | progress   |       Finished subset 49/1275, 3.84 percent done
INFO     | 2023-05-11 21:27:01,817 | progress   |       Finished subset 50/1275, 3.92 percent done
INFO     | 2023-05-11 21:27:03,858 | progress   |       Finished subset 51/1275, 4.00 percent done
INFO     | 2023-05-11 21:27:04,175 | progress   |       Finished subset 52/1275, 4.08 percent done
INFO     | 2023-05-11 21:27:05,408 | progress   |       Finished subset 53/1275, 4.16 percent done
INFO     | 2023-05-11 21:27:05,813 | progress   |       Finished subset 54/1275, 4.24 percent done
INFO     | 2023-05-11 21:27:07,376 | progress   |       Finished subset 55/1275, 4.31 percent done
INFO     | 2023-05-11 21:27:08,404 | progress   |       Finished subset 56/1275, 4.39 percent done
INFO     | 2023-05-11 21:27:09,096 | progress   |       Finished subset 57/1275, 4.47 percent done
INFO     | 2023-05-11 21:27:10,014 | progress   |       Finished subset 58/1275, 4.55 percent done
INFO     | 2023-05-11 21:27:11,084 | progress   |       Finished subset 59/1275, 4.63 percent done
INFO     | 2023-05-11 21:27:11,795 | progress   |       Finished subset 60/1275, 4.71 percent done
INFO     | 2023-05-11 21:27:12,469 | progress   |       Finished subset 61/1275, 4.78 percent done
INFO     | 2023-05-11 21:27:13,947 | progress   |       Finished subset 62/1275, 4.86 percent done
INFO     | 2023-05-11 21:27:14,429 | progress   |       Finished subset 63/1275, 4.94 percent done
INFO     | 2023-05-11 21:27:15,564 | progress   |       Finished subset 64/1275, 5.02 percent done
INFO     | 2023-05-11 21:27:16,164 | progress   |       Finished subset 65/1275, 5.10 percent done
INFO     | 2023-05-11 21:27:17,115 | progress   |       Finished subset 66/1275, 5.18 percent done
INFO     | 2023-05-11 21:27:17,721 | progress   |       Finished subset 67/1275, 5.25 percent done
INFO     | 2023-05-11 21:27:18,316 | progress   |       Finished subset 68/1275, 5.33 percent done
INFO     | 2023-05-11 21:27:19,202 | progress   |       Finished subset 69/1275, 5.41 percent done
INFO     | 2023-05-11 21:27:19,352 | progress   |       Finished subset 70/1275, 5.49 percent done
INFO     | 2023-05-11 21:27:20,157 | progress   |       Finished subset 71/1275, 5.57 percent done
INFO     | 2023-05-11 21:27:20,314 | progress   |       Finished subset 72/1275, 5.65 percent done
INFO     | 2023-05-11 21:27:21,414 | progress   |       Finished subset 73/1275, 5.73 percent done
INFO     | 2023-05-11 21:27:21,552 | progress   |       Finished subset 74/1275, 5.80 percent done
INFO     | 2023-05-11 21:27:22,789 | progress   |       Finished subset 75/1275, 5.88 percent done
INFO     | 2023-05-11 21:27:22,911 | progress   |       Finished subset 76/1275, 5.96 percent done
INFO     | 2023-05-11 21:27:24,277 | progress   |       Finished subset 77/1275, 6.04 percent done
INFO     | 2023-05-11 21:27:24,862 | progress   |       Finished subset 78/1275, 6.12 percent done
INFO     | 2023-05-11 21:27:25,699 | progress   |       Finished subset 79/1275, 6.20 percent done
INFO     | 2023-05-11 21:27:25,799 | progress   |       Finished subset 80/1275, 6.27 percent done
INFO     | 2023-05-11 21:27:26,930 | progress   |       Finished subset 81/1275, 6.35 percent done
INFO     | 2023-05-11 21:27:27,034 | progress   |       Finished subset 82/1275, 6.43 percent done
INFO     | 2023-05-11 21:27:27,874 | progress   |       Finished subset 83/1275, 6.51 percent done
INFO     | 2023-05-11 21:27:28,155 | progress   |       Finished subset 84/1275, 6.59 percent done
INFO     | 2023-05-11 21:27:28,807 | progress   |       Finished subset 85/1275, 6.67 percent done
INFO     | 2023-05-11 21:27:29,113 | progress   |       Finished subset 86/1275, 6.75 percent done
INFO     | 2023-05-11 21:27:29,778 | progress   |       Finished subset 87/1275, 6.82 percent done
INFO     | 2023-05-11 21:27:30,092 | progress   |       Finished subset 88/1275, 6.90 percent done
INFO     | 2023-05-11 21:27:30,607 | progress   |       Finished subset 89/1275, 6.98 percent done
INFO     | 2023-05-11 21:27:30,839 | progress   |       Finished subset 90/1275, 7.06 percent done
INFO     | 2023-05-11 21:27:31,513 | progress   |       Finished subset 91/1275, 7.14 percent done
INFO     | 2023-05-11 21:27:31,867 | progress   |       Finished subset 92/1275, 7.22 percent done
INFO     | 2023-05-11 21:27:32,425 | progress   |       Finished subset 93/1275, 7.29 percent done
INFO     | 2023-05-11 21:27:32,583 | progress   |       Finished subset 94/1275, 7.37 percent done
INFO     | 2023-05-11 21:27:33,196 | progress   |       Finished subset 95/1275, 7.45 percent done
INFO     | 2023-05-11 21:27:33,292 | progress   |       Finished subset 96/1275, 7.53 percent done
INFO     | 2023-05-11 21:27:34,038 | progress   |       Finished subset 97/1275, 7.61 percent done
INFO     | 2023-05-11 21:27:34,223 | progress   |       Finished subset 98/1275, 7.69 percent done
INFO     | 2023-05-11 21:27:34,970 | progress   |       Finished subset 99/1275, 7.76 percent done
INFO     | 2023-05-11 21:27:35,155 | progress   |       Finished subset 100/1275, 7.84 percent done
INFO     | 2023-05-11 21:27:36,139 | progress   |       Finished subset 101/1275, 7.92 percent done
INFO     | 2023-05-11 21:27:36,320 | progress   |       Finished subset 102/1275, 8.00 percent done
INFO     | 2023-05-11 21:27:37,105 | progress   |       Finished subset 103/1275, 8.08 percent done
INFO     | 2023-05-11 21:27:37,467 | progress   |       Finished subset 104/1275, 8.16 percent done
INFO     | 2023-05-11 21:27:38,262 | progress   |       Finished subset 105/1275, 8.24 percent done
INFO     | 2023-05-11 21:27:38,363 | progress   |       Finished subset 106/1275, 8.31 percent done
INFO     | 2023-05-11 21:27:39,355 | progress   |       Finished subset 107/1275, 8.39 percent done
INFO     | 2023-05-11 21:27:39,509 | progress   |       Finished subset 108/1275, 8.47 percent done
INFO     | 2023-05-11 21:27:40,164 | progress   |       Finished subset 109/1275, 8.55 percent done
INFO     | 2023-05-11 21:27:40,638 | progress   |       Finished subset 110/1275, 8.63 percent done
INFO     | 2023-05-11 21:27:41,384 | progress   |       Finished subset 111/1275, 8.71 percent done
INFO     | 2023-05-11 21:27:41,483 | progress   |       Finished subset 112/1275, 8.78 percent done
INFO     | 2023-05-11 21:27:42,187 | progress   |       Finished subset 113/1275, 8.86 percent done
INFO     | 2023-05-11 21:27:42,296 | progress   |       Finished subset 114/1275, 8.94 percent done
INFO     | 2023-05-11 21:27:42,909 | progress   |       Finished subset 115/1275, 9.02 percent done
INFO     | 2023-05-11 21:27:43,502 | progress   |       Finished subset 116/1275, 9.10 percent done
INFO     | 2023-05-11 21:27:43,848 | progress   |       Finished subset 117/1275, 9.18 percent done
INFO     | 2023-05-11 21:27:44,363 | progress   |       Finished subset 118/1275, 9.25 percent done
INFO     | 2023-05-11 21:27:44,709 | progress   |       Finished subset 119/1275, 9.33 percent done
INFO     | 2023-05-11 21:27:45,375 | progress   |       Finished subset 120/1275, 9.41 percent done
INFO     | 2023-05-11 21:27:45,741 | progress   |       Finished subset 121/1275, 9.49 percent done
INFO     | 2023-05-11 21:27:46,154 | progress   |       Finished subset 122/1275, 9.57 percent done
INFO     | 2023-05-11 21:27:46,898 | progress   |       Finished subset 123/1275, 9.65 percent done
INFO     | 2023-05-11 21:27:47,141 | progress   |       Finished subset 124/1275, 9.73 percent done
INFO     | 2023-05-11 21:27:47,955 | progress   |       Finished subset 125/1275, 9.80 percent done
INFO     | 2023-05-11 21:27:48,141 | progress   |       Finished subset 126/1275, 9.88 percent done
INFO     | 2023-05-11 21:27:48,279 | progress   |       Finished subset 127/1275, 9.96 percent done
INFO     | 2023-05-11 21:27:48,770 | progress   |       Finished subset 128/1275, 10.04 percent done
INFO     | 2023-05-11 21:27:49,642 | progress   |       Finished subset 129/1275, 10.12 percent done
INFO     | 2023-05-11 21:27:49,918 | progress   |       Finished subset 130/1275, 10.20 percent done
INFO     | 2023-05-11 21:27:50,286 | progress   |       Finished subset 131/1275, 10.27 percent done
INFO     | 2023-05-11 21:27:50,488 | progress   |       Finished subset 132/1275, 10.35 percent done
INFO     | 2023-05-11 21:27:51,079 | progress   |       Finished subset 133/1275, 10.43 percent done
INFO     | 2023-05-11 21:27:51,190 | progress   |       Finished subset 134/1275, 10.51 percent done
INFO     | 2023-05-11 21:27:51,748 | progress   |       Finished subset 135/1275, 10.59 percent done
INFO     | 2023-05-11 21:27:52,007 | progress   |       Finished subset 136/1275, 10.67 percent done
INFO     | 2023-05-11 21:27:52,932 | progress   |       Finished subset 137/1275, 10.75 percent done
INFO     | 2023-05-11 21:27:53,185 | progress   |       Finished subset 138/1275, 10.82 percent done
INFO     | 2023-05-11 21:27:53,983 | progress   |       Finished subset 139/1275, 10.90 percent done
INFO     | 2023-05-11 21:27:54,088 | progress   |       Finished subset 140/1275, 10.98 percent done
INFO     | 2023-05-11 21:27:54,336 | progress   |       Finished subset 141/1275, 11.06 percent done
INFO     | 2023-05-11 21:27:54,773 | progress   |       Finished subset 142/1275, 11.14 percent done
INFO     | 2023-05-11 21:27:55,591 | progress   |       Finished subset 143/1275, 11.22 percent done
